player_name,matches,innings_batted,runs_scored,balls_faced,strike_rate,average,fours,sixes,overs_bowled,balls_bowled,runs_conceded,wickets,economy,bowling_average
R Sai Kishore,10,1,13,6,216.67,13.0,0,2,31,191,259,13,8.14,19.92
Arjun Tendulkar,5,1,13,9,144.44,13.0,0,1,13,83,117,3,8.46,39.0
Mustafizur Rahman,33,5,12,20,60.0,12,0,1,128,793,1099,37,8.32,29.7
DG Nalkande,6,2,12,12,100.0,6.0,0,1,15,89,150,6,10.11,25.0
AS Joseph,19,4,12,19,63.16,12.0,1,0,64,399,618,15,9.29,41.2
MA Wood,4,2,11,5,220.0,11.0,1,1,16,102,142,11,8.35,12.91
RA Bawa,2,2,11,14,78.57,5.5,1,0,0,0,0,0,0,0
Mukesh Kumar,20,5,10,20,50.0,10.0,0,0,67,420,707,24,10.1,29.46
Sandeep Sharma,34,4,10,14,71.43,10,1,0,128,797,1072,28,8.07,38.29
A Zampa,6,3,10,17,58.82,3.33,0,0,22,133,189,8,8.53,23.62
JE Root,1,1,10,15,66.67,10.0,1,0,2,12,15,0,7.5,0
Kartik Tyagi,10,4,9,10,90.0,3.0,1,0,33,217,348,6,9.62,58.0
VG Arora,20,7,9,17,52.94,4.5,0,0,64,418,598,19,8.58,31.47
AA Kulkarni,2,2,9,8,112.5,4.5,2,0,0,0,0,0,0,0
L Wood,2,1,9,3,300.0,9,0,1,6,38,94,1,14.84,94.0
MA Starc,13,5,9,11,81.82,4.5,1,0,42,267,450,17,10.11,26.47
K Kartikeya,12,2,9,13,69.23,4.5,1,0,39,241,334,10,8.32,33.4
OC McCoy,8,1,8,5,160.0,8,0,1,28,180,255,11,8.5,23.18
S Kaul,9,2,8,8,100.0,8,1,0,35,205,296,7,8.66,42.29
D Ferreira,2,2,8,11,72.73,4.0,0,0,0,0,0,0,0,0
Simarjeet Singh,10,3,7,8,87.5,7.0,0,0,30,193,265,9,8.24,29.44
M Theekshana,27,2,7,7,100.0,7.0,0,1,104,631,814,25,7.74,32.56
Sachin Baby,1,1,7,17,41.18,7.0,0,0,0,0,0,0,0,0
SA Abbott,1,1,7,5,140.0,7.0,0,1,4,27,47,1,10.44,47.0
V Viyaskanth,3,1,7,5,140.0,7,0,0,10,60,90,1,9.0,90.0
SH Johnson,5,3,6,7,85.71,6,1,0,16,99,155,4,9.39,38.75
Mukesh Choudhary,14,2,6,6,100.0,6,1,0,47,298,452,16,9.1,28.25
JP Behrendorff,12,2,6,9,66.67,6,0,0,42,262,395,14,9.05,28.21
M Prasidh Krishna,27,3,6,13,46.15,6.0,0,0,106,685,921,31,8.07,29.71
TG Southee,14,6,5,17,29.41,1.0,0,0,53,330,458,19,8.33,24.11
NM Coulter-Nile,6,3,5,7,71.43,2.5,0,0,24,141,180,7,7.66,25.71
Arshad Khan (2),1,1,5,4,125.0,5.0,1,0,2,13,25,0,11.54,0
JC Archer,5,2,4,4,100.0,4,0,0,20,129,202,2,9.4,101.0
Akash Madhwal,13,1,4,5,80.0,4,0,0,45,279,431,19,9.27,22.68
Navdeep Saini,5,2,4,7,57.14,2.0,0,0,14,89,166,6,11.19,27.67
